hello,merhaba
My name is...,benim adim...
nice to meet you,Memnun oldum
I also/too...,Ben de...
What is your name?,Adin ne?
What?,Ne?
What is your name?,Senin adin ne?
I,Ben
You (single),Sen
She/He/It,O
We,Biz
You (plural),Siz
They,Onlar
How?,Nasil?
How are you?,Sen nasilsin/nasilsiniz?
Thank you very much,Tesekkur ederim
Thanks,Tesekkurler
I am good/fine,iyiyim
Okay?,Tamam mi?
Thank you (formal),Sag olun
How are you? (when asking back),Senden nabar?
See you,gorusuruz
Good bye,Hosca kal
see you later (when you will actually see them later),gorusmek uzere
welcome,hos geldin
response to welcome,hos bulduk
good morning,gunaydin
good day,iyi gunler
good evening,iyi aksamlar
day,gun
evening,aksam
car,araba
keys,anahtar
mother,anne
hanger,aski
shoes,ayakkabi
father,baba
glass (cup),bardak
flag,bayrak
computer,bilgisayar
bicycle,bisiklet
chick,civciv
glass (material),cam
mosque,cami
ruler,cetvel
wallet,cuzdan
socks,corap
tea,cay
chocolate,cikolata
child,cocuk
soup,corba
ice cream,dondurma
notebook,defter
doctor,doktor
cupboard,dolap
tomatoes,domates
apple,elma
bread,ekmek
gloves,eldiven
dress,elbise
donkey,esek
mouse,fare
hazelnut,findik
elephant,fil
cup,fincan
football,futbol
glasses,gozluk
newspaper,gazete
ship,gemi
eye,goz
sun,gunes
tree,agac
mountain,dag
needle,igne
student,ogrenci
teacher,ogretmen
carrot,havuc
carpet,hali
map,harita
hospital,hastane
nurse,hemsire
light,isik
stream,irmak
wet,islak
whistle,islik
spinach,ispanak
cow,inek
pearl,inci
person,insan
rope,ip
name,isim
plane/jet,jet
jaguar,jaguar
military police,jandarma
token,jeton
gymnastics,jimnastik
cat,kedi
pen/pencil,kalem
door,kapi
book,kitap
dog,kopek
lemon,limon
lamp,lamba
lemonade,limonata
restaurant,lokanta
turkish delight,lokum
mushroom,mantar
scissors,makas
market,market
monkey,maymun
stairs,merdiven
pomegranate,nar
mint,nane
river,nehir
grandmother,nine
number,numara
toy,oyuncak
school,okul
forest,orman
hotel,otel
bus,otobus
duck,ordek
homework,odev
example,ornek
spider,orumcek
trousers,pantolon
money,para
window,pencere
cheese,peynir
police,polis
robot,robot
radio,radyo
shelf,raf
jam,recel
picture,resim
swing,salincak
clock/time/hour,saat
classroom,sinif
rubber,silgi
water,su
umbrella,semsiye
city,sehir
sugar,seker
bottle,sise
driver,sofor
rabbit,tavsan
TV,televizyon
slipper,terlik
ball,top
toilet,tuvalet
plane,ucak
kite,ucurtma
small,ufak
master,usta
sleep,uyku
grapes,uzum
country,ulke
uniform,uniforma
university,universite
iron,utu
cherry,visne
suitcase,valiz
vase,vazo
vet,veteriner
body,vucut
yogurt,yogurt
rain,yagmur
pillow,yastik
bed,yatak
egg,yumurta
bell,zil
envelope,zarf
rich,zengin
olive,zeytin
giraffe,zurafa
